domain,status,premium,reg_price,renew_price
ruby.click,AVAILABLE,1,76.94,109.69
ruby.garden,UNAVAILABLE,1,44.19,27.82
ruby.hair,AVAILABLE,1,2183.84,13.74
ruby.monster,AVAILABLE,1,218.86,13.74
ruby.rest,AVAILABLE,1,138.07,197.02
ruby.skin,AVAILABLE,1,2183.84,13.74
ruby.surf,AVAILABLE,1,87.86,27.82
  💰 PREMIUM: ghost.space reg=$2729.67
  💰 PREMIUM: ghost.quest reg=$2183.84
  💰 PREMIUM: ghost.mom reg=$2183.84
  💰 PREMIUM: ghost.beauty reg=$2183.84
  💰 PREMIUM: ghost.click reg=$76.94
  💰 PREMIUM: ghost.hair reg=$2183.84
  💰 PREMIUM: ghost.skin reg=$2183.84
ghost.lol,UNAVAILABLE,0,1.54,26.26
ghost.space,AVAILABLE,1,2729.67,10917.11
ghost.pics,UNAVAILABLE,0,1.54,26.26
ghost.quest,AVAILABLE,1,2183.84,2183.84
ghost.mom,AVAILABLE,1,2183.84,2183.84
ghost.beauty,AVAILABLE,1,2183.84,2183.84
ghost.beer,UNAVAILABLE,0,1.54,26.26
ghost.best,UNAVAILABLE,0,1.72,15.96
ghost.click,AVAILABLE,1,76.94,109.69
ghost.garden,UNAVAILABLE,0,1.54,26.26
ghost.hair,AVAILABLE,1,2183.84,2183.84
ghost.monster,UNAVAILABLE,0,1.54,12.98
ghost.rest,UNAVAILABLE,0,1.54,26.26
ghost.skin,AVAILABLE,1,2183.84,2183.84
ghost.surf,UNAVAILABLE,0,1.54,26.26
  💰 PREMIUM: wolf.pics reg=$710.10
  💰 PREMIUM: wolf.quest reg=$710.10
  💰 PREMIUM: wolf.hair reg=$710.10
  💰 PREMIUM: wolf.rest reg=$138.07
  💰 PREMIUM: wolf.skin reg=$710.10
wolf.lol,UNAVAILABLE,0,1.54,26.26
wolf.space,PENDING,0,0.00,0.00
wolf.pics,AVAILABLE,1,710.10,710.10
wolf.quest,AVAILABLE,1,710.10,13.74
wolf.mom,UNAVAILABLE,1,109.69,109.69
wolf.beauty,UNAVAILABLE,1,710.10,13.74
wolf.beer,UNAVAILABLE,0,1.54,26.26
wolf.best,UNAVAILABLE,0,1.72,15.96
wolf.click,UNAVAILABLE,0,1.54,10.81
wolf.garden,UNAVAILABLE,1,87.86,87.86
wolf.hair,AVAILABLE,1,710.10,13.74
wolf.monster,UNAVAILABLE,0,1.54,12.98
wolf.rest,AVAILABLE,1,138.07,197.02
wolf.skin,AVAILABLE,1,710.10,13.74
wolf.surf,UNAVAILABLE,0,1.54,26.26
  ✓ CHEAP: sus.beauty reg=$1.54 renew=$12.98
  💰 PREMIUM: sus.beer reg=$44.19
  ✓ CHEAP: sus.best reg=$1.72 renew=$15.96
  💰 PREMIUM: sus.click reg=$382.61
  ✓ CHEAP: sus.garden reg=$1.54 renew=$26.26
  ✓ CHEAP: sus.hair reg=$1.54 renew=$12.98
  ✓ CHEAP: sus.monster reg=$1.54 renew=$12.98
